Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Complement	12/200	2.591343e-07	5.441820e-06	0	0	7.504013e+00	1.138053e+02	C1QA;FCER1G;SPOCK2;CALM1;CLU;PLA2G7;MT3;CTSD;CTSS;CTSC;LGMN;C1QC
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	12/200	2.591343e-07	5.441820e-06	0	0	7.504013e+00	1.138053e+02	PDGFRB;LGALS1;CALD1;IGFBP3;IGFBP2;SERPINH1;BGN;TIMP3;PCOLCE;TGFBI;EMP3;MYL9
MSigDB_Hallmark_2020	KRAS Signaling Up	10/200	1.330679e-05	1.862950e-04	0	0	6.113672e+00	6.863964e+01	NRP1;PLVAP;FCER1G;TSPAN13;IGFBP3;LAPTM5;SPARCL1;F13A1;GNG11;CTSS
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	9/199	7.889140e-05	8.283597e-04	0	0	5.469938e+00	5.167690e+01	IFITM3;NRP1;ARL4A;S100A1;CD81;CTSZ;CD48;PHLDA1;PLPP1
MSigDB_Hallmark_2020	Coagulation	7/138	2.475536e-04	2.045276e-03	0	0	6.117078e+00	5.079550e+01	C1QA;S100A1;TIMP3;CRIP2;CLU;LGMN;PF4
MSigDB_Hallmark_2020	Angiogenesis	4/36	2.921823e-04	2.045276e-03	0	0	1.413500e+01	1.150325e+02	NRP1;VTN;PGLYRP1;PF4
MSigDB_Hallmark_2020	Interferon Alpha Response	5/97	1.801334e-03	9.238628e-03	0	0	6.162231e+00	3.894054e+01	IFITM3;IFITM1;IFITM2;IFI27;B2M
MSigDB_Hallmark_2020	Hypoxia	7/200	2.199673e-03	9.238628e-03	0	0	4.138932e+00	2.532798e+01	SLC6A6;IGFBP3;SDC2;SLC2A1;BGN;TGFBI;GAPDH
MSigDB_Hallmark_2020	Adipogenesis	7/200	2.199673e-03	9.238628e-03	0	0	4.138932e+00	2.532798e+01	COX8A;ARL4A;ENPP2;SPARCL1;CHCHD10;APOE;SLC19A1
MSigDB_Hallmark_2020	mTORC1 Signaling	7/200	2.199673e-03	9.238628e-03	0	0	4.138932e+00	2.532798e+01	SLC6A6;SLC7A5;SLC2A1;SERPINH1;GAPDH;CTSC;LGMN
MSigDB_Hallmark_2020	Apoptosis	6/161	3.318351e-03	1.267007e-02	0	0	4.400373e+00	2.511859e+01	IFITM3;PDGFRB;BGN;HSPB1;TIMP3;CLU
MSigDB_Hallmark_2020	Myogenesis	6/200	9.356274e-03	2.693759e-02	0	0	3.508790e+00	1.639204e+01	IGFBP3;FXYD1;IGFBP7;CKB;CLU;SOD3
MSigDB_Hallmark_2020	Oxidative Phosphorylation	6/200	9.356274e-03	2.693759e-02	0	0	3.508790e+00	1.639204e+01	COX8A;LDHB;COX4I1;COX6C;COX7C;SLC25A4
