Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Complement	18/200	5.116105e-12	2.199925e-10	0	0	9.943364e+00	2.585138e+02	C1QA;FCER1G;HSPA5;PLAT;F3;CLU;MT3;CTSS;CSRP1;CTSL;PFN1;CTSD;S100A9;CTSC;LGMN;CTSB;C1QC;MSRB1
MSigDB_Hallmark_2020	Coagulation	13/138	2.878550e-09	5.816053e-08	0	0	1.022424e+01	2.010697e+02	C1QA;SPARC;GSN;HTRA1;PLAT;CRIP2;CLU;F3;CSRP1;PECAM1;CD9;LGMN;CTSB
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	15/200	4.057712e-09	5.816053e-08	0	0	8.027027e+00	1.551034e+02	PDGFRB;SPARC;TPM4;APLP1;HTRA1;PCOLCE;EMP3;RGS4;GJA1;LGALS1;COL4A1;CALD1;SERPINH1;TGFBI;MYL9
MSigDB_Hallmark_2020	KRAS Signaling Up	13/200	2.417039e-07	2.598316e-06	0	0	6.812834e+00	1.037973e+02	FCER1G;LAPTM5;G0S2;PLAT;CTSS;MAFB;TSPAN13;SLPI;IL1B;TSPAN7;PECAM1;CPE;ENG
MSigDB_Hallmark_2020	Cholesterol Homeostasis	6/74	1.378511e-04	1.133547e-03	0	0	8.405371e+00	7.471817e+01	GPX8;CD9;ALDOC;CLU;S100A11;LGMN
MSigDB_Hallmark_2020	UV Response Dn	8/144	1.581694e-04	1.133547e-03	0	0	5.638737e+00	4.934935e+01	RGS4;PDGFRB;GJA1;ANXA2;SDC2;ID1;PLPP3;F3
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	9/200	3.031332e-04	1.303473e-03	0	0	4.526332e+00	3.666935e+01	BTG1;TSC22D1;IL1B;G0S2;PLPP3;MXD1;F3;CXCL2;KLF2
MSigDB_Hallmark_2020	Hypoxia	9/200	3.031332e-04	1.303473e-03	0	0	4.526332e+00	3.666935e+01	PRDX5;BTG1;ANXA2;HSPA5;SDC2;SLC2A1;ALDOC;TGFBI;F3
MSigDB_Hallmark_2020	Myogenesis	9/200	3.031332e-04	1.303473e-03	0	0	4.526332e+00	3.666935e+01	APP;SPARC;GSN;FXYD1;IGFBP7;CKB;CRYAB;CLU;SOD3
MSigDB_Hallmark_2020	mTORC1 Signaling	9/200	3.031332e-04	1.303473e-03	0	0	4.526332e+00	3.666935e+01	SLC7A5;HSPA5;SERPINH1;SLC2A1;CD9;CALR;CFP;CTSC;LGMN
MSigDB_Hallmark_2020	Apoptosis	8/161	3.382847e-04	1.322386e-03	0	0	5.007875e+00	4.002105e+01	IFITM3;PDGFRB;APP;GSN;FEZ1;IL1B;PLAT;CLU
MSigDB_Hallmark_2020	Angiogenesis	4/36	5.639602e-04	2.020857e-03	0	0	1.181519e+01	8.838386e+01	APP;VTN;KCNJ8;PGLYRP1
MSigDB_Hallmark_2020	TGF-beta Signaling	4/54	2.608297e-03	8.627445e-03	0	0	7.554833e+00	4.494413e+01	FKBP1A;ID1;ID3;ENG
MSigDB_Hallmark_2020	Interferon Alpha Response	5/97	3.813099e-03	1.171166e-02	0	0	5.146060e+00	2.866002e+01	IFITM3;IFITM1;IFITM2;IFI27;CNP
MSigDB_Hallmark_2020	Estrogen Response Late	7/200	5.712497e-03	1.292828e-02	0	0	3.449821e+00	1.781867e+01	SLC7A5;TSPAN13;CPE;CD9;CKB;NBL1;S100A9
MSigDB_Hallmark_2020	Apical Junction	7/200	5.712497e-03	1.292828e-02	0	0	3.449821e+00	1.781867e+01	CLDN11;CLDN5;PECAM1;TGFBI;PFN1;MYL9;CD34
MSigDB_Hallmark_2020	Inflammatory Response	7/200	5.712497e-03	1.292828e-02	0	0	3.449821e+00	1.781867e+01	IFITM1;IL1B;C5AR1;SLC1A2;EMP3;MXD1;F3
MSigDB_Hallmark_2020	p53 Pathway	7/200	5.712497e-03	1.292828e-02	0	0	3.449821e+00	1.781867e+01	APP;BTG1;TSC22D1;MXD1;CTSD;TM4SF1;S100A10
MSigDB_Hallmark_2020	Allograft Rejection	7/200	5.712497e-03	1.292828e-02	0	0	3.449821e+00	1.781867e+01	CCR1;SRGN;RPS9;IL1B;LY86;CFP;CTSS
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	4/87	1.400085e-02	3.010184e-02	0	0	4.543495e+00	1.939453e+01	CCR1;IL1R2;IL1B;CD9
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	6/199	2.000812e-02	4.096901e-02	0	0	2.942705e+00	1.151073e+01	IFITM3;ARL4A;IL1R2;CTSZ;APLP1;MXD1
MSigDB_Hallmark_2020	UV Response Up	5/158	2.719854e-02	5.316079e-02	0	0	3.084779e+00	1.111937e+01	BTG1;CNP;BSG;CXCL2;SLC25A4
MSigDB_Hallmark_2020	Interferon Gamma Response	5/200	6.316592e-02	1.180928e-01	0	0	2.415187e+00	6.670724e+00	IFITM3;ARL4A;IFITM2;BTG1;IFI27
MSigDB_Hallmark_2020	Apical Surface	2/44	7.981861e-02	1.428164e-01	0	0	4.456105e+00	1.126503e+01	APP;MAL
MSigDB_Hallmark_2020	Protein Secretion	3/96	8.303281e-02	1.428164e-01	0	0	3.025192e+00	7.528249e+00	CD63;SGMS1;CTSC
MSigDB_Hallmark_2020	Fatty Acid Metabolism	4/158	8.879876e-02	1.468595e-01	0	0	2.439943e+00	5.908035e+00	LGALS1;G0S2;PRDX6;S100A10
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	2/49	9.591487e-02	1.527533e-01	0	0	3.981043e+00	9.332735e+00	MBP;PRDX6
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	3/105	1.018363e-01	1.563914e-01	0	0	2.757003e+00	6.298066e+00	SLC2A1;CALR;PFN1
MSigDB_Hallmark_2020	Unfolded Protein Response	3/113	1.198314e-01	1.776811e-01	0	0	2.555455e+00	5.421830e+00	SLC7A5;HSPA5;CALR
MSigDB_Hallmark_2020	Adipogenesis	4/200	1.653150e-01	2.221421e-01	0	0	1.912997e+00	3.443207e+00	COX8A;ARL4A;COL4A1;APOE
MSigDB_Hallmark_2020	Estrogen Response Early	4/200	1.653150e-01	2.221421e-01	0	0	1.912997e+00	3.443207e+00	SLC7A5;GJA1;SLC2A1;NBL1
MSigDB_Hallmark_2020	heme Metabolism	4/200	1.653150e-01	2.221421e-01	0	0	1.912997e+00	3.443207e+00	BSG;SLC2A1;CTSB;ABCG2
MSigDB_Hallmark_2020	Androgen Response	2/100	2.883107e-01	3.756776e-01	0	0	1.904343e+00	2.368462e+00	TSC22D1;DBI
MSigDB_Hallmark_2020	Pperoxisome	2/104	3.040524e-01	3.845368e-01	0	0	1.829291e+00	2.177872e+00	PRDX5;SLC25A4
MSigDB_Hallmark_2020	Pancreas Beta Cells	1/40	3.486474e-01	4.169936e-01	0	0	2.388486e+00	2.516733e+00	MAFB
